analysis_type,raw_type,scene_count
lane_change_conflict,"1车道货车实线变道,与2车道轿车发生碰撞",1
lane_change_conflict,"1车道车辆a实线变道后方车辆b追尾a车,后方车辆c追尾车辆b",1
lane_change_conflict,"2车道车辆实线变道,与3车道车辆发生碰撞",1
lane_change_conflict,"4车道施工,3车道车辆向2车道变道,与2车道车辆发生碰撞",1
lane_change_conflict,"低速拥堵,3车道货车变道避让,撞击道路中心护栏,与1车道轿车发生碰撞",1
lane_change_conflict,"白色轿车实线变道,与3车道货车发生碰撞",1
rear_end,"低速拥堵,1车道车辆追尾",5
rear_end,1车道车辆追尾,3
rear_end,1车道轿车追尾,2
rear_end,"1车道轿车异常停车,后方车辆连环追尾",1
rear_end,1车道连续追尾,1
rear_end,3车道货车追尾,1
rear_end,"低速拥堵,2车道车辆连续追尾",1
rear_end,"低速拥堵,2车道车辆追尾",1
rear_end,"低速拥堵,3、4车道车辆追尾",1
rear_end,"低速拥堵,4车道车辆追尾",1
rear_end,"低速拥堵,4车道追尾",1
rear_end,"前方短暂拥堵,1车道车辆追尾",1
