pair_group,distance
intra_rear_end,40.41723233887684
intra_rear_end,51.19201454431329
intra_rear_end,95.62562143156086
intra_rear_end,43.278378110235856
intra_rear_end,39.632082787444574
intra_rear_end,95.62562143156086
intra_rear_end,37.904175631360815
intra_rear_end,7.941849213032507
intra_rear_end,36.02333968506378
intra_rear_end,19.27972306439743
intra_rear_end,100.78471364483974
intra_rear_end,71.1092903500906
intra_rear_end,37.904175631360815
intra_rear_end,17.516061191150662
intra_rear_end,0.0
intra_rear_end,0.0
intra_rear_end,26.636831735702224
intra_rear_end,38.27611564375339
intra_rear_end,57.53909999703769
intra_rear_end,5.168482711940991
intra_rear_end,23.465993918052106
intra_rear_end,48.15402833578899
intra_rear_end,54.306856613565316
intra_rear_end,83.19609562492228
intra_rear_end,22.32950853216195
intra_rear_end,49.41297862798347
intra_rear_end,26.7663297249984
intra_rear_end,56.5854013710856
intra_rear_end,0.0
intra_rear_end,30.045476676456737
intra_rear_end,97.56445676209259
intra_rear_end,74.12096991407591
intra_rear_end,37.904175631360815
intra_rear_end,60.04636562097535
intra_rear_end,86.68261849553451
intra_rear_end,97.56445676209259
intra_rear_end,32.58151120155867
intra_rear_end,100.78471364483974
intra_rear_end,37.904175631360815
intra_rear_end,36.02333968506378
intra_rear_end,25.618834628764237
intra_rear_end,47.65479819773006
intra_rear_end,100.78471364483974
intra_rear_end,97.56445676209259
intra_rear_end,0.0
intra_rear_end,51.19201454431329
intra_rear_end,0.0
intra_rear_end,60.06844286243828
intra_rear_end,0.0
intra_rear_end,83.19609562492228
intra_lane_change_conflict,0.0
intra_lane_change_conflict,26.747952003389468
intra_lane_change_conflict,0.0
intra_lane_change_conflict,0.0
intra_lane_change_conflict,53.31873488440439
intra_lane_change_conflict,64.22284276941065
intra_lane_change_conflict,0.0
intra_lane_change_conflict,53.31873488440439
intra_lane_change_conflict,64.22284276941065
intra_lane_change_conflict,53.31873488440439
intra_lane_change_conflict,0.0
intra_lane_change_conflict,53.31873488440439
intra_lane_change_conflict,64.22284276941065
intra_lane_change_conflict,0.0
intra_lane_change_conflict,64.22284276941065
inter_type,9.649025492813326
inter_type,64.22284276941065
inter_type,100.78471364483974
inter_type,64.22284276941065
inter_type,34.672129601941485
inter_type,56.5854013710856
inter_type,0.0
inter_type,48.15402833578899
inter_type,53.31873488440439
inter_type,97.56445676209259
inter_type,26.636831735702224
inter_type,56.5854013710856
inter_type,47.86908455344961
inter_type,53.31873488440439
inter_type,8.247726185807872
inter_type,27.160841895295796
inter_type,100.78471364483974
inter_type,86.68261849553451
inter_type,0.0
inter_type,47.289600863414385
inter_type,95.62562143156086
inter_type,86.68261849553451
inter_type,35.08828018554011
inter_type,13.487729219457524
inter_type,20.01981597879341
inter_type,24.7117718780162
inter_type,100.78471364483974
inter_type,0.0
inter_type,43.278378110235856
inter_type,43.278378110235856
inter_type,100.78471364483974
inter_type,20.41491256618518
inter_type,11.381108984422486
inter_type,26.636831735702224
inter_type,0.0
inter_type,0.0
inter_type,83.19609562492228
inter_type,0.0
inter_type,48.15402833578899
inter_type,83.19609562492228
inter_type,97.56445676209259
inter_type,34.43584234853209
inter_type,37.904175631360815
inter_type,0.0
inter_type,51.19201454431329
inter_type,64.22284276941065
inter_type,0.0
inter_type,26.636831735702224
inter_type,51.19201454431329
inter_type,0.0
