scene_id,raw_type,collision_rel_sec,scene_duration_sec,collision_progress_pct,collision_x,collision_y,delta_v_mps,ttc_1s,ttc_2s,ttc_3s,propagation_start_sec,propagation_duration_sec,proxy_complexity,proxy_signature,severity_proxy
2024_09_04__15_51_18,"2车道车辆实线变道,与3车道车辆发生碰撞",1194.2,1284.6,92.96278997353262,8.7,61.3,2.5,,,,1193.6,0.6000000000001364,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",high
2024_09_04__15_51_41,3车道货车追尾,1194.2,1284.6,92.96278997353262,8.7,61.3,2.5,,,,1193.6,0.6000000000001364,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",high
2024_09_04__16_09_07,1车道轿车追尾,3934455319.4,3934455627.0,99.99999218189176,2.65,41.650000000000006,1.75,,,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
2024_09_04__16_10_02,1车道车辆追尾,833.6,1277.0,65.27799530148786,-0.45,103.35,3.2499999999999996,1.5555555555555556,,,588.6,245.0,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_09_06__18_24_15,抛洒物,925.4,1259.8,73.45610414351485,2.5,131.39999999999998,4.25,,,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
2024_09_08__15_26_26,1车道轿车追尾,1182.8,1269.2,93.19256224393318,16.1,227.5,0.0,,,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
2024_09_09__21_45_15,"1车道货车实线变道,与2车道轿车发生碰撞",930.0,1267.6,73.36699274218996,19.8,33.0,0.25,,,,642.8,287.20000000000005,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_09_14__18_59_33,1车道车辆追尾,948.4,1269.2,74.72423573904821,-6.300000000000001,151.8,3.25,,1.9333333333333382,,900.6,47.799999999999955,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_09_14__20_17_53,1车道车辆追尾,1124.4,1273.0,88.32678711704636,3.1,157.6,3.75,,,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
2024_09_16__10_13_43,1车道连续追尾,693.8,1274.2,54.44985088683095,21.700000000000003,187.10000000000002,21.25,7.625531914893619,,,693.4,0.39999999999997726,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",high
2024_09_16__17_26_15,1车道车辆疑似故障,553.8,1270.0,43.60629921259842,21.55,138.8,5.25,,,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
2024_09_17__11_36_06,1车道车辆抛锚,595.8,1267.2,47.017045454545446,-17.0,163.95,0.0,,,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
2024_09_22__10_15_33,"1车道车辆a实线变道后方车辆b追尾a车,后方车辆c追尾车辆b",3935989253.0,3935989562.6,99.99999213412549,6.9,61.2,0.5,,,,3935989168.199999,84.80000114440918,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_09_27__08_20_00,"前方短暂拥堵,1车道车辆追尾",792.8,1269.6,62.444864524259614,0.09999999999999998,147.9,8.5,1.0758620689655187,2.4695652173913025,3.5130434782608724,790.8,2.0,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_09_27__16_55_24,"低速拥堵,1车道车辆追尾",0.0,3936445569.8,0.0,0.0,0.0,0.0,,,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
2024_09_30__10_42_58,"低速拥堵,1车道车辆追尾",3936682302.0,3936682415.6,99.99999711432146,9.1,181.0,1.5,,,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
2024_09_30__13_23_10,2车道疑似车辆抛锚,329.6,1266.8,26.01831386169877,3.3,113.2,0.0,,,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
2024_10_01__08_43_43,"低速拥堵,4车道追尾",1143.8,1277.4,89.54125567559103,-0.4,202.10000000000002,1.4999999999999991,,,,833.0,310.79999999999995,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_10_01__10_51_33,"低速拥堵,4车道车辆追尾",751.0,1290.8,58.180973039975214,3.6,68.55000000000001,2.499999999999999,,3.1000000000000014,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
2024_10_03__09_29_31,"低速拥堵,2车道车辆连续追尾",190.6,1094.0,17.422303473491773,7.4,44.8,5.75,46.32727272727273,64.8,131.2,,,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_10_05__11_16_51,"低速拥堵,4车道发生事故",993.6,1262.4,78.70722433460075,-0.04999999999999999,79.6,1.2499999999999991,1.0399999999999978,1.5428571428571445,41.900000000000006,991.0,2.6000000000000227,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_10_05__17_18_27,"低速拥堵,3、4车道车辆追尾",3937137629.199999,3937138142.8,99.9999869549916,1.3,65.0,3.0,12.399999999999999,10.720000000000004,4.933333333333333,,,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_10_06__15_09_14,"_低速拥堵,4车道发生事故",3937216183.0,3937216809.6,99.99998408520459,0.8,119.8,7.25,1.2000000000000017,3.7818181818181786,4.872727272727275,3937216181.599999,1.400001049041748,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_10_10__09_16_58,"4车道施工,3车道车辆向2车道变道,与2车道车辆发生碰撞",695.6,1269.0,54.81481481481482,1.9,52.400000000000006,7.5,,,,,,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_10_11__11_12_50,"白色轿车实线变道,与3车道货车发生碰撞",763.8,1268.0,60.23659305993691,16.5,102.69999999999999,0.24999999999999956,,1.466666666666678,,481.6,282.19999999999993,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_11_08__16_34_56,"低速拥堵,1车道车辆追尾",998.8,1273.6,78.42336683417086,0.8,128.1,3.5,,,,746.4,252.39999999999998,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_11_08__18_47_07,"低速拥堵,2车道车辆追尾",1051.8,1302.8,80.73380411421554,0.5,136.4,2.7499999999999982,,,,928.2,123.59999999999991,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_11_08__18_47_11,"低速拥堵,1车道车辆追尾",1051.8,1302.8,80.73380411421554,0.5,136.4,2.7499999999999982,,,,928.2,123.59999999999991,5,"cross_lane_conflict,hard_brake,lane_change,rear_end_risk,slow_obstacle",mid
2024_11_26__13_19_04,"低速拥堵,3车道货车变道避让,撞击道路中心护栏,与1车道轿车发生碰撞",1143.4,1268.0,90.17350157728708,3.5,42.8,4.25,,,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
2024_11_28__08_04_10,"1车道轿车异常停车,后方车辆连环追尾",929.0,1266.4,73.35754895767529,6.199999999999999,50.599999999999994,2.0,,,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
2024_11_29__17_40_16,"低速拥堵,1车道车辆追尾",3941891198.199999,3941891470.8,99.99999308453813,5.7,69.0,6.75,,,,,,4,"cross_lane_conflict,hard_brake,lane_change,slow_obstacle",mid
